date,stk_cd,isinCd,itmsNm,mrktCtg,close,vs,fltRt,mkp,hipr,lopr,volume,amount,lstgStCnt,mrktTotAmt,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt,ma5,ma20,ma60,macd,macd_sig,macd_hist,poc_price,target,reg_return_1d,reg_mdd_1d,class_win_1d,class_lose_1d,reg_return_3d,reg_mdd_3d,class_win_3d,class_lose_3d,reg_return_5d,reg_mdd_5d,class_win_5d,class_lose_5d,reg_return_10d,reg_mdd_10d,class_win_10d,class_lose_10d
20211116,80,KR7000080002,하이트진로,KOSPI,34200,-150,-0.44,34050,34350,33900,157553,5374232100,70133611,2398569496200,34050,34350,33900,-34200,-150,-0.44,157553,5374,1.53,--29791,--26492,+56192,+63446,+39228,4.64,4.64,4.64,+56192,--26492,--29791,1.53,34200.0,34200.0,34200.0,0.0,0.0,0.0,33945.0,-1,-0.020467836257309968,-0.020467836257309968,0,0,-0.01900584795321636,-0.01900584795321636,0,0,-0.042397660818713434,-0.042397660818713434,0,1,-0.15204678362573099,-0.15204678362573099,0,1
20211117,80,KR7000080002,하이트진로,KOSPI,33500,-700,-2.05,34100,34100,33300,250336,8389683250,70133611,2349475968500,34100,34100,33300,-33500,-700,-2.05,250336,8390,1.52,+27782,--26365,--22694,+33049,+6812,4.6,4.6,4.6,--22694,--26365,+27782,1.52,33850.0,33850.0,33850.0,-55.840455840450886,-11.168091168090179,-44.67236467236071,34035.0,0,-0.0194029850746269,-0.0194029850746269,0,0,0.0014925373134329067,-0.007462686567164201,0,0,-0.02238805970149249,-0.023880597014925398,0,0,-0.12238805970149258,-0.13432835820895528,0,1
20211118,80,KR7000080002,하이트진로,KOSPI,32850,-650,-1.94,33150,33400,32800,221704,7318654950,70133611,2303889121350,33150,33400,32800,-32850,-650,-1.94,221704,7319,1.52,+41274,--49668,--14038,+35968,+7566,4.58,4.58,4.58,--14038,--49668,+41274,1.52,33516.666666666664,33516.666666666664,33516.666666666664,-150.80559411043214,-39.095591756558576,-111.71000235387356,33885.0,-1,0.021308980213089912,0.021308980213089912,0,0,0.021308980213089912,-0.0030441400304414,0,0,-0.0030441400304414,-0.030441400304414,0,1,-0.1004566210045662,-0.11719939117199396,0,1
20211119,80,KR7000080002,하이트진로,KOSPI,33550,700,2.13,32900,34000,32900,242559,8152268100,70133611,2352982649050,32900,34000,32900,33550,700,2.13,242559,8152,1.51,--46563,+13342,+33437,+23646,+9524,4.63,4.63,4.63,+33437,+13342,--46563,1.51,33525.0,33525.0,33525.0,-167.6494421098687,-64.8063618272206,-102.84308028264809,33265.0,-1,-0.008941877794336861,-0.008941877794336861,0,0,-0.008941877794336861,-0.025335320417287588,0,0,-0.023845007451564815,-0.07749627421758565,0,1,-0.08792846497764528,-0.1356184798807749,0,1
20211122,80,KR7000080002,하이트진로,KOSPI,33250,-300,-0.89,33300,33700,32950,222703,7381258650,70133611,2331942565750,33300,33700,32950,-33250,-300,-0.89,222703,7381,1.52,+50871,--39491,--22791,--2836,--22652,4.6,4.6,4.6,--22791,--39491,+50871,1.52,33470.0,33470.0,33470.0,-202.86727809678268,-92.41854508113302,-110.44873301564967,33265.0,-1,-0.015037593984962405,-0.015037593984962405,0,0,-0.015037593984962405,-0.04210526315789476,0,1,-0.015037593984962405,-0.0887218045112782,0,1,-0.07969924812030071,-0.1278195488721805,0,1
20211123,80,KR7000080002,하이트진로,KOSPI,32750,-500,-1.5,33000,33200,32750,191473,6288623600,70133611,2296875760250,33000,33200,32750,-32750,-500,-1.5,191473,6289,1.5,+68446,--68230,--20655,+16192,--10172,4.57,4.57,4.57,--20655,--68230,+68446,1.5,33180.0,33350.0,33350.0,-268.0337618119229,-127.541588427291,-140.49217338463188,33230.0,-1,-0.0015267175572518665,-0.0015267175572518665,0,0,-0.0015267175572518665,-0.05496183206106875,0,1,-0.0015267175572518665,-0.1145038167938931,0,1,-0.047328244274809195,-0.1145038167938931,0,1
20211124,80,KR7000080002,하이트진로,KOSPI,32700,-50,-0.15,32800,32800,32250,268380,8698411650,70133611,2293369079700,32800,32800,32250,-32700,-50,-0.15,268380,8698,1.51,--4587,--36119,+34262,+31715,+29815,4.62,4.62,4.62,+34262,--36119,--4587,1.51,33020.0,33257.142857142855,33257.142857142855,-320.02421188147855,-166.03811311812854,-153.98609876335001,33300.0,0,-0.025993883792048922,-0.025993883792048922,0,0,-0.025993883792048922,-0.07339449541284404,0,1,-0.025993883792048922,-0.11314984709480125,0,1,-0.04587155963302747,-0.11314984709480125,0,1
20211125,80,KR7000080002,하이트진로,KOSPI,31850,-850,-2.6,32500,32600,31750,329744,10543513750,70133611,2233755510350,32500,32600,31750,-31850,-850,-2.6,329744,10544,1.52,+161987,--69829,--95952,--100678,--12401,4.48,4.48,4.48,--95952,--69829,+161987,1.52,32820.0,33081.25,33081.25,-424.9167387236521,-217.81383823923326,-207.10290048441883,33050.0,0,-0.028257456828885363,-0.028257456828885363,0,0,-0.028257456828885363,-0.0894819466248038,0,1,-0.028257456828885363,-0.0894819466248038,0,1,-0.020408163265306145,-0.0894819466248038,0,1
20211126,80,KR7000080002,하이트진로,KOSPI,30950,-900,-2.83,31650,31900,30900,410733,12814292500,70133611,2170635260450,31650,31900,30900,-30950,-900,-2.83,410733,12814,1.47,+94874,--149963,+45152,+2163,+58941,4.54,4.54,4.54,+45152,--149963,+94874,1.47,32300.0,32844.444444444445,32844.444444444445,-574.050009170096,-289.0610724254058,-284.9889367446902,33315.0,0,-0.021001615508885352,-0.021001615508885352,0,0,-0.021001615508885352,-0.06300484652665594,0,1,-0.011308562197092087,-0.06300484652665594,0,1,0.008077544426494443,-0.06300484652665594,0,1
20211129,80,KR7000080002,하이트진로,KOSPI,30300,-650,-2.1,29700,30600,29600,367294,11126739700,70133611,2125048413300,29700,30600,29600,-30300,-650,-2.1,367294,11127,1.5,--31385,--31011,+52103,+40894,+75161,4.62,4.62,4.62,+52103,--31011,--31385,1.5,31710.0,32590.0,32590.0,-736.2022864809041,-378.4893152365055,-357.71297124439866,32925.0,-1,-0.04290429042904287,-0.04290429042904287,0,1,-0.024752475247524774,-0.04290429042904287,0,1,0.00990099009900991,-0.04290429042904287,0,1,0.02970297029702973,-0.04290429042904287,0,1
